,Syngas Production,Methanol Manufacture,Steam Cracker,Hydrodealkylation (THD),Disproportionation (TDP),Metathesis,Dehydrogenation,Refinery,Urea Synthesis,SOHIO Process,Caprolactam Manufacture,Cumene Production,Hock's Process,PE Manufacture,PVC Manufacture,VC Production,PP Manufacture,Styrene production,EG Production,PTA Production,PET Production,Propylene Oxide Production,Acetic acid production,Formaldehyde production,Cyclohexane Production,Adipic Acid Production,Catalytic Reformer
Coal,-55.68818574,-25.46005876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural Gas,-52.89466732,-24.04257276,-62.89514457,0,0,0,0,-3.070145455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste,20.71752333,11.98103578,15.64266874,0.251672241,0,0.447204969,0.688862338,0,1.025882353,1.898005391,1.686377365,3.555132923,0,3.428571429,0.559223301,1.8,0.96,0.745378022,5.316497696,2.278335985,4.659031481,1.208275862,0.064613703,0.534665625,0.076851347,0.483569472,0
Environment,31.7885978,13.23276908,0,0.942307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil,0,-6.296621142,-241.8014924,0,0,0,0,-6.983188933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-319.3897452
Limestone ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal Energy,-59.42905204,-18.66618337,-59.11,-0.584624922,-0.224343944,-0.028955589,-1.060873387,0,-161.2069011,-1.380958863,-1.52373006,-2.02945863,-1.853900151,0,0,-3.557577717,-2.300608171,-1.609930752,-5.172408645,-7.196825044,-1.973830889,-4.398873695,-0.329557332,0,0,0,-28.75959823
NG Energy,-31.79676824,-9.987107082,-31.62,-0.312796225,-0.120032411,-0.015492324,-0.567606988,0,-86.25172869,-0.738864704,-0.81525264,-1.085836363,-0.991906003,0,0,-1.903437297,-1.230911521,-0.861373238,-2.767432313,-3.850570893,-1.056073438,-2.353562148,-0.176325514,0,0,0,-8.91190507
Environment Energy,91.22582028,28.65329045,90.73,0.897421147,0.344376355,0.044447913,1.628480375,0,247.4586298,2.119823567,2.3389827,3.115294993,2.845806154,0,0,5.461015013,3.531519691,2.471303991,7.939840958,11.04739594,3.029904327,6.752435844,0.505882846,0,0,0,37.6715033
